id,ürün fiyatı
0,115.65643
1,35.355965
2,38.98617
3,21.418901
4,38.97678
5,16.679035
6,18.395094
7,43.37352
8,39.68522
9,84.03885
10,14.827194
11,36.36601
12,32.989117
13,31.489063
14,28.58253
15,13.271858
16,41.045025
17,26.582542
18,26.022291
19,21.52051
20,21.764015
21,23.145432
22,45.063602
23,19.658358
24,18.408062
25,14.237799
26,21.428171
27,9.989018
28,25.078085
29,6.573427
30,9.497753
31,7.953111
32,2.1660595
33,5.12342
34,11.449174
35,5.92313
36,7.1999288
37,40.548695
38,14.934481
39,13.504333
40,22.815702
41,23.04422
42,11.558962
43,37.638416
44,21.912752
45,52.497517
46,54.41223
47,25.621498
48,39.47733
49,50.884968
50,40.633842
51,41.73425
52,12.7459755
53,49.70416
54,81.442215
55,53.76417
56,11.658298
57,18.270266
58,21.317183
59,23.517889
60,13.155177
61,15.284134
62,20.701715
63,23.483606
64,12.67602
65,16.736712
66,10.369913
67,9.786591
68,25.832266
69,27.735243
70,14.065777
71,17.165123
72,16.071445
73,13.10381
74,48.57435
75,47.88445
76,47.808006
77,50.647964
78,61.959206
79,109.627884
80,33.521782
81,43.99564
82,21.606623
83,42.707363
84,15.240864
85,18.706966
86,38.324146
87,38.528263
88,68.77525
89,12.66753
90,33.64445
91,32.35774
92,26.97958
93,26.764273
94,13.791016
95,38.39649
96,25.336632
97,25.783888
98,20.615778
99,21.006845
100,25.41464
101,42.03778
102,21.13051
103,17.827204
104,13.637827
105,21.838062
106,9.4664135
107,25.079655
108,6.8022256
109,9.379966
110,8.1430855
111,1.9238852
112,4.807741
113,11.618065
114,4.750622
115,6.3788667
116,34.491375
117,16.862532
118,13.534558
119,24.31026
120,20.91054
121,10.988834
122,42.618782
123,24.71742
124,47.91316
125,56.72263
126,26.950493
127,37.155453
128,48.803226
129,37.704647
130,39.00709
131,15.992611
132,50.43863
133,78.8414
134,61.314
135,13.144481
136,15.1189
137,19.8828
138,23.750055
139,13.887548
140,16.54553
141,19.626703
142,24.134335
143,12.759873
144,15.338581
145,9.269285
146,9.521273
147,30.958029
148,28.371912
149,12.537113
150,17.566744
151,16.839582
152,14.4047985
153,44.802013
154,46.133183
155,50.275127
156,46.36264
157,49.040573
158,109.809845
159,35.536743
160,36.471317
161,24.340834
162,42.063732
163,14.705721
164,20.795004
165,42.4298
166,39.902798
167,75.63237
168,13.859177
169,36.605686
170,29.623781
171,36.932217
172,29.70091
173,14.652166
